2025-08-05T17:36:14.308574 - 
Updating Jekyll layouts...
2025-08-05T17:36:14.309105 - ✅ Updated layout: practice-area.html
2025-08-05T17:36:14.309474 - ✅ Updated layout: default.html
2025-08-05T17:36:14.309753 - ✅ Updated layout: default-optimized.html
2025-08-05T17:36:14.310425 - ✅ Updated layout: modern-default.html
2025-08-05T17:36:14.310454 - 
Migrating 1322 pages without layout...
2025-08-05T17:36:14.349990 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/montpelier-vt-forensic-economist.html
2025-08-05T17:36:14.350272 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/portsmouth-nh-forensic-economist.html
2025-08-05T17:36:14.350563 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/cambridge-ma-forensic-economist.html
2025-08-05T17:36:14.350856 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/malden-ma-forensic-economist.html
2025-08-05T17:36:14.351137 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/boston-ma-forensic-economist.html
2025-08-05T17:36:14.351442 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/methuen-ma-forensic-economist.html
2025-08-05T17:36:14.351738 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/enfield-ct-forensic-economist.html
2025-08-05T17:36:14.352027 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/new-haven-ct-forensic-economist.html
2025-08-05T17:36:14.352434 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/bristol-ct-forensic-economist.html
2025-08-05T17:36:14.354458 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/essex-junction-vt-forensic-economist.html
2025-08-05T17:36:14.354972 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/auburn-me-forensic-economist.html
2025-08-05T17:36:14.355540 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/holyoke-ma-forensic-economist.html
2025-08-05T17:36:14.355881 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/nashua-nh-forensic-economist.html
2025-08-05T17:36:14.356222 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/bangor-me-forensic-economist.html
2025-08-05T17:36:14.356548 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/shelton-ct-forensic-economist.html
2025-08-05T17:36:14.356881 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/wallingford-ct-forensic-economist.html
2025-08-05T17:36:14.357311 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/waterbury-ct-forensic-economist.html
2025-08-05T17:36:14.357734 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/manchester-nh-forensic-economist.html
2025-08-05T17:36:14.358027 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/pawtucket-ri-forensic-economist.html
2025-08-05T17:36:14.358420 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/rochester-nh-forensic-economist.html
2025-08-05T17:36:14.358874 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/somerville-ma-forensic-economist.html
2025-08-05T17:36:14.359260 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/medford-ma-forensic-economist.html
2025-08-05T17:36:14.359644 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/st.-albans-vt-forensic-economist.html
2025-08-05T17:36:14.359928 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/pittsfield-ma-forensic-economist.html
2025-08-05T17:36:14.360229 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/rutland-vt-forensic-economist.html
2025-08-05T17:36:14.360605 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/barre-vt-forensic-economist.html
2025-08-05T17:36:14.360895 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/st.-johnsbury-vt-forensic-economist.html
2025-08-05T17:36:14.361187 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/everett-ma-forensic-economist.html
2025-08-05T17:36:14.361469 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/trumbull-ct-forensic-economist.html
2025-08-05T17:36:14.361784 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/stamford-ct-forensic-economist.html
2025-08-05T17:36:14.364157 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/chicopee-ma-forensic-economist.html
2025-08-05T17:36:14.364507 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/derry-nh-forensic-economist.html
2025-08-05T17:36:14.365045 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/bridgeport-ct-forensic-economist.html
2025-08-05T17:36:14.365502 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/new-bedford-ma-forensic-economist.html
2025-08-05T17:36:14.365950 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/lewiston-me-forensic-economist.html
2025-08-05T17:36:14.366318 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/dover-nh-forensic-economist.html
2025-08-05T17:36:14.366692 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/worcester-ma-forensic-economist.html
2025-08-05T17:36:14.367177 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/haverhill-ma-forensic-economist.html
2025-08-05T17:36:14.367470 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/warwick-ri-forensic-economist.html
2025-08-05T17:36:14.369789 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/portsmouth-nh-life-care-planning.html
2025-08-05T17:36:14.370228 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/cambridge-ma-life-care-planning.html
2025-08-05T17:36:14.370643 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/malden-ma-life-care-planning.html
2025-08-05T17:36:14.371059 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/newton-ma-life-care-planning.html
2025-08-05T17:36:14.371578 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/weymouth-ma-life-care-planning.html
2025-08-05T17:36:14.372011 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/greenwich-ct-life-care-planning.html
2025-08-05T17:36:14.372432 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/saco-me-life-care-planning.html
2025-08-05T17:36:14.374602 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/providence-ri-life-care-planning.html
2025-08-05T17:36:14.375053 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/leominster-ma-life-care-planning.html
2025-08-05T17:36:14.375519 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/danbury-ct-life-care-planning.html
2025-08-05T17:36:14.375930 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/beverly-ma-life-care-planning.html
2025-08-05T17:36:14.376335 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/enfield-ct-life-care-planning.html
2025-08-05T17:36:14.376830 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/methuen-ma-life-care-planning.html
2025-08-05T17:36:14.377219 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/woburn-ma-life-care-planning.html
2025-08-05T17:36:14.377961 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/sanford-me-life-care-planning.html
2025-08-05T17:36:14.378406 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/boston-ma-life-care-planning.html
2025-08-05T17:36:14.378726 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/nashua-nh-life-care-planning.html
2025-08-05T17:36:14.379063 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/bangor-me-life-care-planning.html
2025-08-05T17:36:14.379522 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/wallingford-ct-life-care-planning.html
2025-08-05T17:36:14.379935 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/shelton-ct-life-care-planning.html
2025-08-05T17:36:14.380391 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/franklin-ma-life-care-planning.html
2025-08-05T17:36:14.380763 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/new-haven-ct-life-care-planning.html
2025-08-05T17:36:14.381346 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/bristol-ct-life-care-planning.html
2025-08-05T17:36:14.381758 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/londonderry-nh-life-care-planning.html
2025-08-05T17:36:14.382064 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/essex-junction-vt-life-care-planning.html
2025-08-05T17:36:14.382501 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/auburn-me-life-care-planning.html
2025-08-05T17:36:14.382937 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/holyoke-ma-life-care-planning.html
2025-08-05T17:36:14.383474 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/lawrence-ma-life-care-planning.html
2025-08-05T17:36:14.385721 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/bedford-nh-life-care-planning.html
2025-08-05T17:36:14.386072 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/manchester-nh-life-care-planning.html
2025-08-05T17:36:14.386510 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/waterbury-ct-life-care-planning.html
2025-08-05T17:36:14.386889 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/hooksett-nh-life-care-planning.html
2025-08-05T17:36:14.387226 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/merrimack-nh-life-care-planning.html
2025-08-05T17:36:14.387537 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/medford-ma-life-care-planning.html
2025-08-05T17:36:14.387889 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/pittsfield-ma-life-care-planning.html
2025-08-05T17:36:14.388242 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/rochester-nh-life-care-planning.html
2025-08-05T17:36:14.388581 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/pawtucket-ri-life-care-planning.html
2025-08-05T17:36:14.388890 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/st-albans-vt-life-care-planning.html
2025-08-05T17:36:14.389197 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/somerville-ma-life-care-planning.html
2025-08-05T17:36:14.389512 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/trumbull-ct-life-care-planning.html
2025-08-05T17:36:14.389814 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/stamford-ct-life-care-planning.html
2025-08-05T17:36:14.390131 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/chicopee-ma-life-care-planning.html
2025-08-05T17:36:14.390438 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/bridgeport-ct-life-care-planning.html
2025-08-05T17:36:14.390764 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/derry-nh-life-care-planning.html
2025-08-05T17:36:14.391137 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/new-bedford-ma-life-care-planning.html
2025-08-05T17:36:14.391473 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/rutland-vt-life-care-planning.html
2025-08-05T17:36:14.391782 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/everett-ma-life-care-planning.html
2025-08-05T17:36:14.392081 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/haverhill-ma-life-care-planning.html
2025-08-05T17:36:14.392377 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/central-falls-ri-life-care-planning.html
2025-08-05T17:36:14.392940 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/warwick-ri-life-care-planning.html
2025-08-05T17:36:14.393310 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/lewiston-me-life-care-planning.html
2025-08-05T17:36:14.393655 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/watertown-ma-life-care-planning.html
2025-08-05T17:36:14.393977 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/dover-nh-life-care-planning.html
2025-08-05T17:36:14.394307 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/worcester-ma-life-care-planning.html
2025-08-05T17:36:14.394715 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/salem-nh-life-care-planning.html
2025-08-05T17:36:14.395221 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/naugatuck-ct-life-care-planning.html
2025-08-05T17:36:14.395561 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/hartford-ct-life-care-planning.html
2025-08-05T17:36:14.395899 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/glastonbury-ct-life-care-planning.html
2025-08-05T17:36:14.396235 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/woonsocket-ri-life-care-planning.html
2025-08-05T17:36:14.396573 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/wethersfield-ct-life-care-planning.html
2025-08-05T17:36:14.396897 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/laconia-nh-life-care-planning.html
2025-08-05T17:36:14.397235 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/framingham-ma-life-care-planning.html
2025-08-05T17:36:14.397578 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/westfield-ma-life-care-planning.html
2025-08-05T17:36:14.397909 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/waterville-me-life-care-planning.html
2025-08-05T17:36:14.398237 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/burlington-vt-life-care-planning.html
2025-08-05T17:36:14.398569 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/marlborough-ma-life-care-planning.html
2025-08-05T17:36:14.399045 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/barnstable-ma-life-care-planning.html
2025-08-05T17:36:14.399470 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/life-care-planning/attleboro-ma-life-care-planning.html
